id_ticket,categoria_sucia,categoria_real
TCK-0675,facturacion,facturacion-redondeo
TCK-0676,Consulta,facturacion-redondeo
TCK-0677,Otros,facturacion-redondeo
TCK-0678,Pedidos,facturacion-redondeo
TCK-0679,Otros,otros
TCK-0680,Facturas,facturacion-redondeo
TCK-0681,Consulta,pedido-erroneo
TCK-0682,Facturas,facturacion-redondeo
TCK-0683,Incidencia facturación,facturacion-redondeo
TCK-0684,entregas,entrega-sin-aviso
TCK-0685,Entrega,facturacion-redondeo
TCK-0686,Otros,producto-defectuoso
TCK-0687,facturacion,facturacion-redondeo
TCK-0688,Info,informacion-producto
TCK-0689,Incidencia facturación,facturacion-redondeo
TCK-0690,FACTURACION,facturacion-redondeo
TCK-0691,Pedidos,pedido-erroneo
TCK-0692,Pedidos,facturacion-redondeo
TCK-0693,,facturacion-redondeo
TCK-0694,FACTURACION,facturacion-redondeo
TCK-0695,Entrega,facturacion-redondeo
TCK-0696,Entrega,entrega-sin-aviso
TCK-0697,Facturas,facturacion-redondeo
TCK-0698,Facturación,facturacion-redondeo
TCK-0699,Otros,facturacion-redondeo
TCK-0700,Facturas,facturacion-redondeo
TCK-0701,entregas,entrega-retraso
TCK-0702,FACTURACION,facturacion-redondeo
TCK-0703,Pedidos,facturacion-redondeo
TCK-0704,Info,informacion-producto
TCK-0705,facturacion,facturacion-redondeo
TCK-0706,Calidad producto,producto-defectuoso
TCK-0707,Pedidos,facturacion-redondeo
TCK-0708,facturacion,facturacion-redondeo
TCK-0709,Entrega,entrega-sin-aviso
TCK-0710,Entrega,pedido-erroneo
TCK-0711,Facturas,facturacion-redondeo
TCK-0712,Facturas,facturacion-redondeo
TCK-0713,Incidencia facturación,facturacion-redondeo
TCK-0714,Facturación,facturacion-redondeo
TCK-0715,Pedidos,facturacion-redondeo
TCK-0716,Reparto,entrega-retraso
TCK-0717,Facturación,facturacion-redondeo
TCK-0718,Facturas,facturacion-redondeo
TCK-0719,Entrega,facturacion-redondeo
TCK-0720,Otros,facturacion-redondeo
TCK-0721,Facturas,facturacion-redondeo
TCK-0722,Consulta,facturacion-redondeo
TCK-0723,Pedidos,facturacion-redondeo
TCK-0724,Producto,producto-defectuoso
TCK-0725,Facturación,facturacion-redondeo
TCK-0726,Consulta,facturacion-redondeo
TCK-0727,Incidencia facturación,pedido-erroneo
TCK-0728,Entrega,entrega-retraso
TCK-0729,Pedidos,facturacion-redondeo
TCK-0730,Entrega,facturacion-redondeo
TCK-0731,Info,informacion-producto
TCK-0732,Facturación,facturacion-redondeo
TCK-0733,facturacion,facturacion-redondeo
TCK-0734,Consulta,pedido-erroneo
TCK-0735,Pedidos,facturacion-redondeo
TCK-0736,facturacion,facturacion-redondeo
TCK-0737,Entrega,facturacion-redondeo
TCK-0738,Entrega,facturacion-redondeo
TCK-0739,Facturación,facturacion-redondeo
TCK-0740,Otros,facturacion-redondeo
TCK-0741,Entrega,otros
TCK-0742,Facturación,facturacion-redondeo
TCK-0743,Facturación,facturacion-redondeo
TCK-0744,Consulta,otros
TCK-0745,facturacion,facturacion-redondeo
TCK-0746,Entrega,entrega-retraso
TCK-0747,Incidencia facturación,facturacion-redondeo
TCK-0748,Facturas,pedido-erroneo
TCK-0749,Datos cliente,cambio-datos
TCK-0750,Consulta,facturacion-redondeo
TCK-0751,Reparto,entrega-sin-aviso
TCK-0752,facturacion,facturacion-redondeo
TCK-0753,FACTURACION,facturacion-redondeo
TCK-0754,Consulta,facturacion-redondeo
TCK-0755,Otros,informacion-producto
TCK-0756,Otros,otros
TCK-0757,entregas,entrega-retraso
TCK-0758,Facturas,pedido-erroneo
TCK-0759,Entrega,pedido-erroneo
TCK-0760,,cambio-datos
TCK-0761,entregas,entrega-retraso
TCK-0762,Pedidos,pedido-erroneo
TCK-0763,entregas,entrega-sin-aviso
TCK-0764,facturacion,pedido-erroneo
TCK-0765,Otros,cambio-datos
TCK-0766,Reparto,entrega-sin-aviso
TCK-0767,Datos cliente,cambio-datos
TCK-0768,Entrega,entrega-retraso
TCK-0769,Otros,producto-defectuoso
TCK-0770,Consulta,informacion-producto
TCK-0771,entregas,entrega-sin-aviso
TCK-0772,Info,informacion-producto
TCK-0773,Producto,informacion-producto
TCK-0774,,otros
TCK-0775,Info,informacion-producto
TCK-0776,Producto,informacion-producto
TCK-0777,Entrega,entrega-retraso
TCK-0778,Otros,otros
TCK-0779,Consulta,cambio-datos
TCK-0780,Producto,producto-defectuoso
TCK-0781,entregas,entrega-retraso
TCK-0782,Entrega,entrega-sin-aviso
TCK-0783,Incidencia facturación,pedido-erroneo
TCK-0784,Consulta,informacion-producto
TCK-0785,Entrega,entrega-sin-aviso
TCK-0786,Entrega,entrega-retraso
TCK-0787,,entrega-retraso
TCK-0788,Facturación,otros
TCK-0789,Producto,producto-defectuoso
TCK-0790,Datos cliente,cambio-datos
TCK-0791,Otros,cambio-datos
TCK-0792,Datos cliente,cambio-datos
TCK-0793,Info,informacion-producto
TCK-0794,Entrega,entrega-retraso
TCK-0795,Info,informacion-producto
TCK-0796,Otros,producto-defectuoso
TCK-0797,Facturas,pedido-erroneo
TCK-0798,Info,informacion-producto
TCK-0799,,producto-defectuoso
TCK-0800,Otros,informacion-producto
